name,shortName,tla,crest,venue,coachName,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference
Fluminense FC,Fluminense,FLU,https://crests.football-data.org/1765.svg,Estadio Jornalista Mário Filho,Fernando Diniz,13,6,12,45,42,41,1
Atlético Mineiro-MG,Mineiro,CAM,https://crests.football-data.org/1766.png,Estádio Raimundo Sampaio,Luiz Felipe Scolari,15,8,9,52,40,25,15
Grêmio FBPA,Grêmio,FBP,https://crests.football-data.org/1767.png,Arena do Grêmio,Renato Gaúcho,17,5,10,56,53,46,7
CA Paranaense,Paranaense,CAP,https://crests.football-data.org/1768.png,Estádio Joaquim Américo Guimarães,Wesley Carvalho,13,10,9,49,45,37,8
SE Palmeiras,Palmeiras,PAL,https://crests.football-data.org/1769.png,Allianz Parque,Abel Ferreira,17,8,7,59,53,27,26
Botafogo FR,Botafogo,BOT,https://crests.football-data.org/1770.png,Estádio Nilton Santos,Lúcio Flávio,18,5,7,59,48,23,25
Cruzeiro EC,Cruzeiro,CRU,https://crests.football-data.org/1771.png,Estádio Governador Magalhães Pinto,Zé Ricardo,9,10,11,37,28,25,3
São Paulo FC,São Paulo,PAU,https://crests.football-data.org/1776.png,Estádio do Morumbi,Dorival Júnior,11,9,11,42,36,35,1
EC Bahia,Bahia,BAH,https://crests.football-data.org/1777.png,Estádio Governador Roberto Santos,Rogério Ceni,10,7,15,37,38,43,-5
SC Corinthians Paulista,Corinthians,COR,https://crests.football-data.org/1779.svg,Neo Química Arena,Mano Menezes,9,13,9,40,37,37,0
CR Vasco da Gama,Vasco da Gama,VAS,https://crests.football-data.org/1780.png,Estádio Club de Regatas Vasco da Gama,Ramón Díaz,9,7,15,34,32,42,-10
CR Flamengo,Flamengo,FLA,https://crests.football-data.org/1783.png,Estadio Jornalista Mário Filho,Tite,14,8,8,50,44,36,8
America Saf-MG,América (MG),AMÉ,https://crests.football-data.org/1838.png,Estádio Raimundo Sampaio,Fabián Bustos,4,9,19,20,38,66,-28
Fortaleza EC,Fortaleza,FEC,https://crests.football-data.org/3984.png,Estádio Castelão,Juan Vojvoda,12,6,11,42,34,32,2
Coritiba FBC,Coritiba,COR,https://crests.football-data.org/4241.png,Estádio Major Antônio Couto Pereira,Thiago Kosloski,6,5,20,23,35,66,-31
Goiás EC,Goiás,GOI,https://crests.football-data.org/4250.png,Estádio de Hailé Pinheiro,Armando Evangelista,7,11,13,32,32,46,-14
RB Bragantino,Bragantino,RBB,https://crests.football-data.org/4286.png,Estádio Nabi Abi Chedid,Pedro Caixinha,15,10,5,55,43,26,17
Cuiabá EC,Cuiabá EC,CUI,https://crests.football-data.org/4289_large.png,Arena Pantanal,António Oliveira,11,7,13,40,31,34,-3
SC Internacional,Internacional,SCI,https://crests.football-data.org/6684.png,Estádio José Pinheiro Borba,Eduardo Coudet,10,9,12,39,36,39,-3
Santos FC,Santos,SAN,https://crests.football-data.org/6685.png,Estádio Urbano Caldeira,Marcelo Fernandes,10,7,14,37,36,55,-19
